1-73920{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-11349{'outgroup_allele': 'A', 'calls': {'pop1': (246, 4)}, 'segregating': ['A', 'T']}
1-89283{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-36783{'outgroup_allele': 'A', 'calls': {'pop1': (247, 3)}, 'segregating': ['A', 'T']}
1-22717{'outgroup_allele': 'A', 'calls': {'pop1': (238, 12)}, 'segregating': ['A', 'T']}
1-11469{'outgroup_allele': 'A', 'calls': {'pop1': (247, 3)}, 'segregating': ['A', 'T']}
1-82116{'outgroup_allele': 'A', 'calls': {'pop1': (246, 4)}, 'segregating': ['A', 'T']}
1-77656{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-39339{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-25826{'outgroup_allele': 'A', 'calls': {'pop1': (237, 13)}, 'segregating': ['A', 'T']}
1-35440{'outgroup_allele': 'A', 'calls': {'pop1': (181, 69)}, 'segregating': ['A', 'T']}
1-67611{'outgroup_allele': 'A', 'calls': {'pop1': (218, 32)}, 'segregating': ['A', 'T']}
1-32880{'outgroup_allele': 'A', 'calls': {'pop1': (244, 6)}, 'segregating': ['A', 'T']}
1-95401{'outgroup_allele': 'A', 'calls': {'pop1': (247, 3)}, 'segregating': ['A', 'T']}
1-31107{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-87681{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-24326{'outgroup_allele': 'A', 'calls': {'pop1': (246, 4)}, 'segregating': ['A', 'T']}
1-12562{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-50974{'outgroup_allele': 'A', 'calls': {'pop1': (242, 8)}, 'segregating': ['A', 'T']}
1-89916{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-44860{'outgroup_allele': 'A', 'calls': {'pop1': (244, 6)}, 'segregating': ['A', 'T']}
1-67123{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-7196{'outgroup_allele': 'A', 'calls': {'pop1': (245, 5)}, 'segregating': ['A', 'T']}
1-10367{'outgroup_allele': 'A', 'calls': {'pop1': (244, 6)}, 'segregating': ['A', 'T']}
1-38472{'outgroup_allele': 'A', 'calls': {'pop1': (244, 6)}, 'segregating': ['A', 'T']}
1-3738{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-24454{'outgroup_allele': 'A', 'calls': {'pop1': (246, 4)}, 'segregating': ['A', 'T']}
1-47921{'outgroup_allele': 'A', 'calls': {'pop1': (242, 8)}, 'segregating': ['A', 'T']}
1-9738{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-76783{'outgroup_allele': 'A', 'calls': {'pop1': (248, 2)}, 'segregating': ['A', 'T']}
1-50333{'outgroup_allele': 'A', 'calls': {'pop1': (247, 3)}, 'segregating': ['A', 'T']}
1-9047{'outgroup_allele': 'A', 'calls': {'pop1': (248, 2)}, 'segregating': ['A', 'T']}
1-66932{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-23253{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-16839{'outgroup_allele': 'A', 'calls': {'pop1': (247, 3)}, 'segregating': ['A', 'T']}
1-98247{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-81881{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-35597{'outgroup_allele': 'A', 'calls': {'pop1': (225, 25)}, 'segregating': ['A', 'T']}
1-49019{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-89145{'outgroup_allele': 'A', 'calls': {'pop1': (240, 10)}, 'segregating': ['A', 'T']}
1-68672{'outgroup_allele': 'A', 'calls': {'pop1': (242, 8)}, 'segregating': ['A', 'T']}
1-16731{'outgroup_allele': 'A', 'calls': {'pop1': (223, 27)}, 'segregating': ['A', 'T']}
1-85268{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-79346{'outgroup_allele': 'A', 'calls': {'pop1': (196, 54)}, 'segregating': ['A', 'T']}
1-91323{'outgroup_allele': 'A', 'calls': {'pop1': (243, 7)}, 'segregating': ['A', 'T']}
1-45563{'outgroup_allele': 'A', 'calls': {'pop1': (248, 2)}, 'segregating': ['A', 'T']}
1-61012{'outgroup_allele': 'A', 'calls': {'pop1': (247, 3)}, 'segregating': ['A', 'T']}
1-18154{'outgroup_allele': 'A', 'calls': {'pop1': (248, 2)}, 'segregating': ['A', 'T']}
1-6714{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-35628{'outgroup_allele': 'A', 'calls': {'pop1': (231, 19)}, 'segregating': ['A', 'T']}
1-68648{'outgroup_allele': 'A', 'calls': {'pop1': (231, 19)}, 'segregating': ['A', 'T']}
1-90508{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-70273{'outgroup_allele': 'A', 'calls': {'pop1': (248, 2)}, 'segregating': ['A', 'T']}
1-63322{'outgroup_allele': 'A', 'calls': {'pop1': (242, 8)}, 'segregating': ['A', 'T']}
1-90910{'outgroup_allele': 'A', 'calls': {'pop1': (234, 16)}, 'segregating': ['A', 'T']}
1-79549{'outgroup_allele': 'A', 'calls': {'pop1': (248, 2)}, 'segregating': ['A', 'T']}
1-43202{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-29842{'outgroup_allele': 'A', 'calls': {'pop1': (245, 5)}, 'segregating': ['A', 'T']}
1-82921{'outgroup_allele': 'A', 'calls': {'pop1': (170, 80)}, 'segregating': ['A', 'T']}
1-94836{'outgroup_allele': 'A', 'calls': {'pop1': (243, 7)}, 'segregating': ['A', 'T']}
1-82517{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-42332{'outgroup_allele': 'A', 'calls': {'pop1': (103, 147)}, 'segregating': ['A', 'T']}
1-36329{'outgroup_allele': 'A', 'calls': {'pop1': (245, 5)}, 'segregating': ['A', 'T']}
1-59020{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-63359{'outgroup_allele': 'A', 'calls': {'pop1': (239, 11)}, 'segregating': ['A', 'T']}
1-17267{'outgroup_allele': 'A', 'calls': {'pop1': (247, 3)}, 'segregating': ['A', 'T']}
1-87092{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-85606{'outgroup_allele': 'A', 'calls': {'pop1': (242, 8)}, 'segregating': ['A', 'T']}
1-76634{'outgroup_allele': 'A', 'calls': {'pop1': (248, 2)}, 'segregating': ['A', 'T']}
1-11424{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-38725{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-48573{'outgroup_allele': 'A', 'calls': {'pop1': (249, 1)}, 'segregating': ['A', 'T']}
1-91868{'outgroup_allele': 'A', 'calls': {'pop1': (244, 6)}, 'segregating': ['A', 'T']}
